role_id,permission_id
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","e9c972e9-4965-416f-a6cb-135efbab61d5"
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","7a67e016-2a01-4e67-85da-d741d0f02c1a"
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","b2dc1fd7-bf23-4109-8d10-05c3cbfe6437"
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","80ab6278-2f9f-4ba4-84a3-81bf7672636f"
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","257ff442-1668-42d9-b5ae-fbdf2d38cfe1"
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","210f47b4-d3b8-49db-a6b1-9ab6e166540f"
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","b15a1bb9-75ec-4398-96cb-744e570aa8f3"
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","aa806233-7a3b-459b-9204-0098eed29cc5"
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","4980603a-9a8e-47e8-959a-e5d24926b9f8"
"cdb8366c-f9ee-4738-8943-d00fe19f66d6","d03e85c4-fbd2-43bf-8154-ac827f0572e3"
"4dfdc753-cfdf-4fdb-848d-76c9663b4c3a","e9c972e9-4965-416f-a6cb-135efbab61d5"
"4dfdc753-cfdf-4fdb-848d-76c9663b4c3a","7a67e016-2a01-4e67-85da-d741d0f02c1a"
"4dfdc753-cfdf-4fdb-848d-76c9663b4c3a","b2dc1fd7-bf23-4109-8d10-05c3cbfe6437"
"4dfdc753-cfdf-4fdb-848d-76c9663b4c3a","80ab6278-2f9f-4ba4-84a3-81bf7672636f"
"4dfdc753-cfdf-4fdb-848d-76c9663b4c3a","257ff442-1668-42d9-b5ae-fbdf2d38cfe1"
"4dfdc753-cfdf-4fdb-848d-76c9663b4c3a","210f47b4-d3b8-49db-a6b1-9ab6e166540f"
"4dfdc753-cfdf-4fdb-848d-76c9663b4c3a","b15a1bb9-75ec-4398-96cb-744e570aa8f3"
"4dfdc753-cfdf-4fdb-848d-76c9663b4c3a","aa806233-7a3b-459b-9204-0098eed29cc5"
"4dfdc753-cfdf-4fdb-848d-76c9663b4c3a","4980603a-9a8e-47e8-959a-e5d24926b9f8"
"ca195266-8057-485c-8860-bb412b8db56e","e9c972e9-4965-416f-a6cb-135efbab61d5"
"ca195266-8057-485c-8860-bb412b8db56e","7a67e016-2a01-4e67-85da-d741d0f02c1a"
"ca195266-8057-485c-8860-bb412b8db56e","80ab6278-2f9f-4ba4-84a3-81bf7672636f"
"ca195266-8057-485c-8860-bb412b8db56e","b2dc1fd7-bf23-4109-8d10-05c3cbfe6437"
"ab8b37a7-5dec-4ac9-9547-9aec47a2f88a","e9c972e9-4965-416f-a6cb-135efbab61d5"
"ab8b37a7-5dec-4ac9-9547-9aec47a2f88a","7a67e016-2a01-4e67-85da-d741d0f02c1a"
"ab8b37a7-5dec-4ac9-9547-9aec47a2f88a","80ab6278-2f9f-4ba4-84a3-81bf7672636f"
"5b0c73cf-9e3e-4d99-a759-cf40ae5fc15c","7a67e016-2a01-4e67-85da-d741d0f02c1a"
